iter	Passed	Remaining
0	1	1066
1	2	1022
2	2	993
3	3	882
4	4	820
5	4	814
6	5	793
7	6	834
8	7	848
9	8	832
10	9	885
11	10	866
12	12	911
13	13	924
14	13	917
15	15	929
16	16	929
17	17	936
18	18	939
19	19	944
20	20	940
21	21	946
22	21	932
23	23	943
24	24	938
25	24	925
26	25	917
27	26	909
28	27	917
29	27	904
30	28	906
31	29	894
32	30	892
33	31	896
34	32	899
35	33	903
36	35	915
37	36	922
38	37	916
39	38	912
40	38	905
41	39	911
42	40	901
43	41	902
44	42	901
45	43	900
46	44	893
47	44	891
48	45	885
49	46	887
50	47	881
51	48	890
52	49	888
53	50	888
54	51	886
55	52	886
56	53	885
57	54	885
58	55	885
59	56	888
60	57	888
61	58	887
62	59	886
63	60	887
64	61	888
65	62	887
66	63	884
67	64	885
68	65	883
69	66	877
70	68	892
71	69	891
72	70	891
73	71	893
74	72	898
75	74	903
76	75	902
77	76	903
78	77	907
79	78	905
80	79	906
81	80	905
82	82	910
83	84	917
84	85	917
85	86	918
86	87	918
87	89	922
88	90	928
89	92	934
90	93	933
91	94	934
92	96	936
93	97	935
94	98	935
95	99	932
96	100	934
97	101	934
98	102	935
99	103	929
100	105	936
101	106	940
102	108	942
103	109	940
104	110	937
105	110	936
106	112	937
107	113	937
108	115	946
109	117	947
110	117	944
111	118	943
112	120	944
113	121	942
114	122	939
115	122	936
116	123	935
117	124	932
118	125	930
119	126	927
120	127	925
121	128	926
122	129	926
123	130	922
124	131	918
125	132	918
126	133	917
127	134	916
128	135	915
129	136	910
130	137	909
131	138	908
132	139	908
133	140	908
134	141	909
135	143	910
136	144	909
137	145	908
138	146	907
139	147	908
140	148	906
141	150	906
142	151	905
143	152	903
144	152	899
145	153	898
146	154	898
147	155	897
148	156	896
149	157	893
150	158	891
151	159	891
152	160	890
153	161	889
154	163	889
155	164	889
156	165	889
157	166	888
158	168	889
159	169	889
160	170	889
161	171	888
162	172	884
163	173	883
164	174	883
165	175	881
166	176	881
167	177	880
168	178	878
169	179	877
170	180	876
171	181	875
172	183	874
173	184	874
174	185	872
175	186	871
176	187	871
177	188	872
178	190	871
179	191	870
180	192	870
181	193	871
182	194	869
183	195	868
184	197	869
185	198	868
186	199	866
187	200	865
188	201	864
189	202	864
190	203	861
191	204	861
192	205	860
193	206	858
194	208	858
195	209	858
196	210	858
197	211	856
198	212	855
199	213	854
200	215	855
201	216	855
202	217	853
203	218	851
204	219	849
205	219	847
206	220	844
207	221	843
208	223	844
209	224	843
210	225	844
211	227	845
212	228	844
213	229	844
214	231	843
215	232	842
216	233	841
217	234	840
218	235	839
219	236	838
220	237	837
221	238	837
222	240	836
223	241	835
224	242	835
225	243	835
226	244	834
227	246	834
228	247	833
229	248	832
230	250	834
231	251	833
232	303	1000
233	305	999
234	308	1002
235	309	1002
236	310	1000
237	313	1003
238	315	1004
239	316	1003
240	318	1001
241	319	1001
242	321	1000
243	322	1000
244	324	1000
245	325	999
246	327	998
247	328	996
248	329	994
249	330	991
250	331	990
251	332	987
252	334	988
253	335	986
254	336	984
255	338	982
256	339	980
257	340	979
258	342	979
259	343	978
260	345	977
261	346	976
262	347	974
263	349	973
264	351	975
265	353	974
266	354	973
267	356	972
268	357	972
269	359	971
270	362	974
271	364	975
272	365	974
273	367	973
274	368	972
275	369	970
276	370	967
277	371	965
278	373	965
279	374	963
280	376	962
281	377	959
282	378	958
283	379	957
284	381	956
285	387	966
286	387	963
287	389	961
288	391	961
289	392	959
290	393	957
291	394	956
292	395	955
293	397	954
294	398	953
295	400	952
296	401	950
297	403	949
298	404	948
299	406	947
300	407	946
301	408	944
302	410	943
303	411	942
304	413	941
305	413	938
306	415	938
307	416	935
308	417	933
309	418	931
310	419	930
311	420	927
312	421	925
313	423	924
314	424	922
315	425	920
316	426	919
317	428	918
318	429	917
319	431	916
320	432	914
321	433	912
322	434	910
323	435	908
324	437	908
325	438	906
326	439	904
327	441	904
328	442	903
329	444	901
330	445	899
331	446	897
332	447	895
333	448	893
334	449	891
335	450	890
336	451	888
337	452	887
338	454	886
339	455	885
340	456	882
341	458	881
342	458	879
343	460	877
344	461	875
345	462	874
346	463	872
347	464	870
348	465	868
349	466	866
350	467	864
351	468	863
352	470	861
353	471	860
354	472	857
355	472	855
356	473	853
357	474	851
358	475	849
359	476	847
360	477	846
361	478	844
362	479	842
363	480	840
364	482	838
365	483	837
366	484	835
367	485	833
368	486	831
369	487	829
370	488	828
371	489	826
372	490	824
373	491	823
374	492	821
375	493	819
376	494	817
377	495	815
378	496	813
379	497	812
380	498	810
381	499	808
382	500	806
383	501	804
384	502	802
385	503	800
386	504	798
387	505	797
388	507	796
389	508	795
390	509	793
391	511	793
392	513	792
393	514	791
394	515	789
395	516	787
396	517	785
397	518	784
398	520	783
399	520	781
400	522	779
401	523	778
402	524	777
403	525	775
404	526	773
405	527	772
406	528	770
407	529	768
408	530	767
409	532	765
410	533	765
411	535	763
412	536	762
413	537	760
414	539	759
415	540	758
416	541	756
417	541	754
418	542	752
419	543	750
420	544	749
421	545	747
422	546	745
423	548	744
424	549	743
425	549	740
426	550	739
427	552	738
428	554	737
429	554	735
430	556	734
431	556	732
432	557	730
433	558	728
434	559	726
435	560	724
436	561	723
437	562	721
438	563	720
439	564	718
440	565	716
441	567	715
442	568	714
443	569	713
444	571	712
445	572	711
446	574	710
447	575	709
448	576	707
449	577	706
450	579	705
451	581	705
452	582	703
453	583	702
454	585	701
455	587	701
456	588	699
457	591	699
458	594	700
459	595	699
460	597	698
461	598	697
462	600	696
463	601	694
464	602	693
465	605	693
466	606	692
467	608	691
468	610	690
469	611	689
470	612	687
471	613	685
472	614	684
473	615	683
474	617	682
475	618	680
476	620	679
477	621	678
478	622	677
479	624	676
480	625	675
481	627	673
482	628	672
483	630	671
484	631	670
485	632	669
486	633	667
487	634	665
488	636	664
489	637	663
490	638	661
491	639	660
492	640	658
493	641	657
494	642	655
495	643	653
496	644	652
497	645	651
498	646	649
499	647	647
500	649	646
501	650	645
502	651	643
503	652	642
504	653	640
505	654	638
506	655	637
507	656	636
508	657	634
509	659	633
510	660	632
511	662	631
512	663	629
513	664	627
514	665	626
515	666	624
516	667	623
517	668	621
518	668	619
519	669	618
520	670	616
521	671	614
522	672	613
523	673	611
524	674	610
525	676	609
526	677	608
527	678	606
528	680	605
529	681	604
530	682	602
531	683	601
532	685	600
533	687	600
534	688	598
535	690	597
536	691	596
537	693	595
538	694	593
539	695	592
540	695	590
541	696	588
542	697	587
543	698	585
544	699	583
545	700	582
546	701	581
547	702	579
548	703	578
549	704	576
550	706	575
551	707	573
552	708	572
553	709	571
554	710	569
555	711	567
556	712	566
557	712	564
558	714	563
559	715	562
560	716	560
561	719	560
562	720	559
563	722	558
564	723	557
565	724	555
566	726	554
567	727	553
568	728	551
569	729	550
570	730	548
571	731	547
572	732	545
573	733	544
574	734	542
575	736	541
576	737	540
577	739	539
578	740	538
579	741	536
580	742	535
581	743	533
582	744	532
583	745	530
584	746	529
585	747	528
586	748	526
587	750	525
588	751	524
589	753	523
590	755	522
591	756	521
592	759	521
593	762	521
594	764	520
595	764	518
596	766	517
597	766	515
598	768	514
599	774	516
600	779	517
601	780	516
602	782	515
603	787	516
604	788	514
605	790	514
606	791	512
607	793	511
608	794	510
609	795	508
610	796	507
611	798	506
612	799	505
613	801	503
614	802	502
615	803	501
616	806	500
617	808	499
618	810	498
619	811	497
620	812	495
621	814	495
622	816	493
623	817	492
624	818	491
625	820	490
626	822	489
627	823	487
628	824	486
629	825	484
630	827	483
631	827	481
632	828	480
633	829	479
634	831	477
635	832	476
636	833	475
637	834	473
638	836	472
639	837	470
640	838	469
641	839	467
642	840	466
643	841	465
644	842	463
645	843	462
646	843	460
647	845	459
648	846	457
649	847	456
650	848	454
651	849	453
652	851	452
653	851	450
654	853	449
655	854	447
656	855	446
657	856	445
658	858	444
659	859	442
660	860	441
661	861	439
662	862	438
663	863	437
664	864	435
665	865	434
666	866	432
667	867	431
668	868	429
669	869	428
670	871	427
671	872	425
672	873	424
673	875	423
674	876	421
675	877	420
676	878	419
677	879	417
678	880	416
679	880	414
680	882	413
681	883	412
682	884	410
683	885	409
684	887	407
685	888	406
686	890	405
687	891	404
688	892	402
689	893	401
690	895	400
691	896	399
692	897	397
693	898	396
694	899	394
695	900	393
696	901	392
697	903	390
698	903	389
699	905	387
700	906	386
701	907	385
702	908	383
703	909	382
704	911	381
705	912	379
706	913	378
707	914	377
708	915	375
709	916	374
710	917	373
711	919	371
712	921	370
713	923	369
714	925	368
715	926	367
716	927	366
717	930	365
718	931	364
719	934	363
720	936	362
721	937	360
722	938	359
723	939	358
724	940	356
725	941	355
726	942	353
727	943	352
728	944	351
729	946	349
730	947	348
731	949	347
732	950	346
733	951	344
734	952	343
735	953	342
736	955	340
737	956	339
738	956	337
739	958	336
740	959	335
741	960	334
742	962	332
743	963	331
744	964	330
745	965	328
746	966	327
747	967	325
748	968	324
749	969	323
750	970	321
751	971	320
752	972	318
753	973	317
754	974	316
755	975	314
756	976	313
757	977	312
758	978	310
759	980	309
760	981	308
761	982	306
762	983	305
763	985	304
764	986	302
765	987	301
766	988	300
767	988	298
768	989	297
769	991	296
770	992	294
771	993	293
772	994	292
773	995	290
774	996	289
775	997	287
776	998	286
777	999	285
778	1000	283
779	1002	282
780	1003	281
781	1005	280
782	1006	278
783	1023	281
784	1024	280
785	1033	281
786	1042	282
787	1045	281
788	1046	279
789	1047	278
790	1049	277
791	1050	275
792	1051	274
793	1053	273
794	1054	271
795	1055	270
796	1056	269
797	1057	267
798	1059	266
799	1060	265
800	1061	263
801	1062	262
802	1063	260
803	1065	259
804	1066	258
805	1068	257
806	1069	255
807	1071	254
808	1073	253
809	1074	252
810	1077	251
811	1078	249
812	1080	248
813	1081	247
814	1082	245
815	1084	244
816	1085	243
817	1087	241
818	1088	240
819	1090	239
820	1092	238
821	1093	236
822	1094	235
823	1095	234
824	1096	232
825	1097	231
826	1099	230
827	1100	228
828	1102	227
829	1103	226
830	1104	224
831	1106	223
832	1108	222
833	1109	220
834	1111	219
835	1112	218
836	1114	216
837	1115	215
838	1117	214
839	1118	213
840	1120	211
841	1121	210
842	1122	209
843	1123	207
844	1124	206
845	1125	204
846	1126	203
847	1127	202
848	1129	200
849	1130	199
850	1131	198
851	1132	196
852	1133	195
853	1134	194
854	1136	192
855	1137	191
856	1138	189
857	1139	188
858	1140	187
859	1141	185
860	1142	184
861	1144	183
862	1145	181
863	1145	180
864	1146	178
865	1147	177
866	1149	176
867	1150	174
868	1151	173
869	1152	172
870	1153	170
871	1154	169
872	1156	168
873	1156	166
874	1158	165
875	1159	164
876	1159	162
877	1160	161
878	1161	159
879	1162	158
880	1163	157
881	1164	155
882	1165	154
883	1166	153
884	1167	151
885	1168	150
886	1169	149
887	1171	147
888	1172	146
889	1173	145
890	1175	143
891	1176	142
892	1177	141
893	1178	139
894	1179	138
895	1181	137
896	1183	135
897	1184	134
898	1186	133
899	1187	131
900	1189	130
901	1190	129
902	1191	128
903	1192	126
904	1193	125
905	1195	123
906	1196	122
907	1197	121
908	1198	119
909	1200	118
910	1201	117
911	1202	116
912	1204	114
913	1205	113
914	1206	112
915	1207	110
916	1208	109
917	1209	108
918	1210	106
919	1211	105
920	1212	103
921	1213	102
922	1214	101
923	1216	100
924	1217	98
925	1218	97
926	1219	96
927	1220	94
928	1221	93
929	1222	92
930	1223	90
931	1224	89
932	1226	88
933	1227	86
934	1228	85
935	1229	84
936	1232	82
937	1233	81
938	1234	80
939	1236	78
940	1237	77
941	1238	76
942	1240	74
943	1241	73
944	1242	72
945	1243	70
946	1244	69
947	1245	68
948	1246	66
949	1247	65
950	1249	64
951	1252	63
952	1253	61
953	1254	60
954	1255	59
955	1256	57
956	1258	56
957	1259	55
958	1259	53
959	1261	52
960	1262	51
961	1263	49
962	1265	48
963	1266	47
964	1267	45
965	1268	44
966	1269	43
967	1270	41
968	1271	40
969	1272	39
970	1273	38
971	1274	36
972	1275	35
973	1276	34
974	1277	32
975	1279	31
976	1280	30
977	1281	28
978	1282	27
979	1284	26
980	1285	24
981	1286	23
982	1287	22
983	1288	20
984	1289	19
985	1290	18
986	1291	17
987	1292	15
988	1293	14
989	1294	13
990	1295	11
991	1296	10
992	1297	9
993	1298	7
994	1299	6
995	1300	5
996	1301	3
997	1301	2
998	1302	1
999	1304	0
