iter	RMSE
0	0.8889519425
1	0.8457171041
2	0.8232970889
3	0.8078329621
4	0.8028220279
5	0.7968157729
6	0.793980799
7	0.7884588253
8	0.7839274587
9	0.781899048
10	0.7799731063
11	0.7781142179
12	0.7773079987
13	0.775345663
14	0.7734504613
15	0.7719216959
16	0.7698556025
17	0.7680764392
18	0.7670715368
19	0.7649233354
20	0.7643010317
21	0.7625235953
22	0.7609109904
23	0.7599997896
24	0.7589034131
25	0.7572889711
26	0.7562788485
27	0.753866752
28	0.7521351802
29	0.7509397644
30	0.7498644176
31	0.7486021544
32	0.7467899814
33	0.7458951918
34	0.7447298229
35	0.7438143909
36	0.7427613263
37	0.7413862547
38	0.7396876093
39	0.7387157521
40	0.7378070469
41	0.7373068268
42	0.7362074
43	0.7355879608
44	0.7345697784
45	0.733149833
46	0.7312794233
47	0.7298398586
48	0.7283663701
49	0.7273656433
50	0.7264705765
51	0.7256448577
52	0.7246602438
53	0.7234088645
54	0.7225405532
55	0.7218705483
56	0.7203517182
57	0.7195392743
58	0.7187954982
59	0.7180681717
60	0.7170863473
61	0.7160363209
62	0.7148907431
63	0.7142729464
64	0.7125731687
65	0.7113109001
66	0.710453525
67	0.7093188398
68	0.7082032181
69	0.7077245357
70	0.7068186751
71	0.7064601619
72	0.7054462284
73	0.7047181707
74	0.7037217895
75	0.7026915189
76	0.7018095566
77	0.7008543383
78	0.6998151873
79	0.6993489442
80	0.6989298817
81	0.69827655
82	0.6970179034
83	0.6960195893
84	0.6950889857
85	0.69473351
86	0.6942449425
87	0.6934968067
88	0.6923945973
89	0.6911284473
90	0.6901166213
91	0.6894695823
92	0.6891089724
93	0.6882655576
94	0.6871915004
95	0.6863639421
96	0.6859370187
97	0.6855151951
98	0.6846929572
99	0.6842833908
