iter	Passed	Remaining
0	56	5599
1	59	2904
2	62	2013
3	66	1599
4	70	1331
5	74	1161
6	77	1028
7	82	953
8	85	867
9	88	795
10	91	736
11	94	689
12	97	655
13	100	618
14	103	586
15	106	556
16	109	532
17	112	513
18	117	502
19	122	490
20	126	476
21	131	464
22	133	448
23	137	434
24	139	418
25	143	409
26	147	398
27	150	386
28	153	374
29	155	362
30	158	353
31	163	346
32	166	337
33	169	328
34	172	320
35	178	316
36	181	308
37	184	300
38	186	291
39	189	284
40	194	279
41	197	272
42	200	265
43	202	258
44	206	252
45	210	247
46	213	240
47	216	234
48	219	228
49	225	225
50	229	220
51	232	214
52	235	208
53	242	206
54	245	200
55	249	195
56	252	190
57	257	186
58	261	181
59	265	176
60	268	171
61	274	168
62	278	163
63	282	158
64	287	154
65	291	150
66	295	145
67	297	140
68	300	135
69	305	131
70	308	126
71	311	121
72	313	116
73	317	111
74	322	107
75	325	102
76	327	97
77	330	93
78	333	88
79	337	84
80	341	80
81	343	75
82	346	70
83	349	66
84	353	62
85	356	58
86	359	53
87	363	49
88	368	45
89	372	41
90	374	37
91	377	32
92	379	28
93	385	24
94	391	20
95	398	16
96	405	12
97	410	8
98	423	4
99	432	0
